unit_id,ecephys_structure_acronym,stimulus,block,R_tot,tau_R,tau_single,tau_double,firing_rate,median_ISI,CV_ISI,structure_name,layer
951033025,VISrl,spontaneous,averaged,0.2605293442240434,0.0019249999999999998,0.06790091920984809,0.01595398507122059,0.8676410622089796,0.017089844,2.3950312,RL,5
951033037,VISrl,spontaneous,averaged,0.1179160768729433,0.01268747246037565,0.10354150841150855,0.060836548990366814,3.1126046597969186,0.051757812,2.1344957,RL,5
951033088,VISrl,spontaneous,averaged,0.08337321131944105,0.04254519815333115,0.44840556161105455,0.21032324015052578,1.4667456757036301,0.1340332,1.8966061,RL,4
951033334,VISal,spontaneous,averaged,0.08765811036676958,0.1968445183884396,0.8103953358048722,0.8103912024790726,0.6008085595236692,0.27929688,2.397136,AL,5
951034451,LP,spontaneous,averaged,0.23265075501763907,0.03632304585759867,0.5201520043427862,0.4728958287775975,4.466077284781141,0.028320312,4.4317546,LP,NoLayer
951034459,LP,spontaneous,averaged,0.03799439371526919,0.07605477063384346,0.9130474499538656,0.9130500657518567,10.72018588007023,0.053222656,1.4636186,LP,NoLayer
951034515,LP,spontaneous,averaged,0.08476350404450005,0.10844559397711916,2.1051065005598986,1.9988679579967372,5.85562435296802,0.061035156,2.64206,LP,NoLayer
951034978,VISal,spontaneous,averaged,0.13119570175455741,0.10924491840239103,0.5424373448323832,0.5424279378577315,1.416543358642164,0.125,3.7565334,AL,6
951035003,VISal,spontaneous,averaged,0.016310213537794244,0.10662298506646936,0.6366403531785227,0.6366501481070503,9.990124243613195,0.059570312,3.0443254,AL,6
951035082,VISal,spontaneous,averaged,0.13018592009278748,0.19602814178236058,1.3292864634908208,1.3291779756066062,1.9675408623470447,0.171875,4.1593537,AL,6
951035090,VISal,spontaneous,averaged,0.1464692322710236,0.15885864351856244,1.3625391544334295,1.3624639598909163,2.239614497649819,0.1616211,5.401238,AL,6
951035105,VISal,spontaneous,averaged,0.07035880189777984,0.20513621350846709,2.2781721001062523,2.278146259105336,1.6365691980159847,0.2055664,2.2760265,AL,6
951035118,VISal,spontaneous,averaged,0.11267717408582284,0.06607416661021093,0.4793311801136506,0.4793356403087125,2.9477927306313636,0.088378906,3.1345913,AL,5
951035149,VISal,spontaneous,averaged,0.06333630384748976,0.11838327933474946,0.6396576155728728,0.6396757265380033,2.354576532035006,0.15429688,2.1758516,AL,5
951035159,VISal,spontaneous,averaged,0.12595637060211468,0.08007557828797611,0.46592246441852303,0.465920053966868,1.5498507690908399,0.109375,2.9791396,AL,5
951035178,VISal,spontaneous,averaged,0.15816483939279144,0.018684102126073125,0.44877097266974425,0.4487700274965892,5.103613247383995,0.033691406,2.6523135,AL,5
951035236,VISal,spontaneous,averaged,0.07947134518711536,0.08143762037199145,0.29852749023197717,0.15991406219092283,0.6142035422168896,0.32543945,2.1004033,AL,5
951035267,VISal,spontaneous,averaged,0.06860262342797357,0.0899802940867562,0.8408157457605299,0.8408192177101916,2.8836474652867676,0.103515625,2.0460691,AL,5
951035277,VISal,spontaneous,averaged,0.058037748422650304,0.10800999872531437,0.5567348101746452,0.5567376164766639,3.0081581335467655,0.12011719,1.986006,AL,5
951035284,VISl,spontaneous,averaged,0.07746445067548818,0.006215922043474957,0.22546508848059563,0.18749564139572183,7.2152745031082715,0.04345703,1.585634,LM,6
951035296,VISal,spontaneous,averaged,0.07035838034018231,0.038953961806870295,0.30777497362576406,0.30776995525864387,2.5441143824213843,0.10913086,1.949949,AL,5
951035312,VISal,spontaneous,averaged,0.13997165741883413,0.015825833086470894,0.24578749138079392,0.09927524879043233,3.456852526279779,0.046875,2.6269338,AL,5
951035371,VISal,spontaneous,averaged,0.22005793368662122,0.09078630588504168,0.45013388414736266,0.45012504032046097,0.9875984487640105,0.08544922,3.9239767,AL,5
951035387,VISal,spontaneous,averaged,0.024302841152508973,0.09207004908478207,0.6792618348364439,0.05508099728920658,1.631697999702433,0.30664062,1.4926687,AL,5
951035393,VISal,spontaneous,averaged,0.07237380948136171,0.128050236765539,1.0857209134533055,1.0857417638309537,8.907690015169116,0.06982422,1.9205835,AL,5
951035470,VISal,spontaneous,averaged,0.08334582938961482,0.0063885282832599685,0.6431829467767134,0.6430144794582788,13.7245595178588,0.064453125,0.6021528,AL,5
951035477,VISal,spontaneous,averaged,0.04221533188895793,0.08331156195513047,1.3473684693580672,1.3475181925400195,7.2351508745066235,0.10644531,1.116857,AL,5
